,geo_group,marketing_group,created_order,order_sum,test_group,user_id
212,regions,target_direct,False,,control,1042930
213,regions,context_brand,False,,test,1112200
214,regions,target_direct,False,,test,1102243
215,regions,target_direct,False,,control,1043029
216,regions,target_direct,False,,test,1098640
217,regions,context_brand,False,,test,1113091
218,regions,target_direct,False,,test,1103203
219,regions,organic,False,,control,1035127
220,regions,social_media,True,200.0,control,1058464
221,regions,target_direct,False,,control,1042093
222,spb,social_media,True,200.0,test,1083169
223,regions,target_direct,True,4308.0,test,1111753
224,spb,target_direct,False,,control,1016905
225,regions,target_direct,False,,control,1052731
226,spb,social_media,False,,test,1083448
227,regions,organic,False,,control,1034464
228,regions,target_direct,False,,control,1052371
229,regions,target_direct,False,,test,1107640
230,spb,organic,True,11956.0,control,1016428
231,regions,organic,True,4496.0,control,1026940
232,regions,target_direct,True,50.0,test,1109065
233,regions,target_direct,False,,test,1103614
234,msk,target_direct,False,,control,1005760
235,regions,target_direct,True,4545.0,test,1098364
236,regions,organic,False,,test,1094968
237,regions,organic,False,,test,1092373
238,msk,target_direct,False,,control,1010050
239,regions,target_direct,False,,control,1050673
240,regions,target_direct,True,50.0,control,1049026
241,spb,organic,False,,control,1014100
242,msk,organic,False,,test,1062424
243,regions,target_direct,False,,test,1109635
244,regions,organic,False,,test,1092580
245,spb,target_direct,False,,control,1019491
246,spb,organic,True,7476.0,control,1014016
247,regions,organic,False,,test,1093099
248,regions,target_direct,True,2822.0,control,1040974
249,regions,target_direct,True,50.0,test,1110832
250,regions,context_brand,True,5292.0,control,1054483
251,regions,organic,False,,test,1087852
252,regions,social_media,False,,control,1059661
253,regions,target_direct,False,,control,1041181
254,regions,target_direct,False,,test,1099924
255,msk,context_brand,False,,control,1011562
256,regions,target_direct,True,50.0,control,1042555
257,regions,target_direct,False,,control,1041223
258,spb,target_direct,True,50.0,test,1080166
259,regions,target_direct,False,,control,1035949
260,regions,organic,True,2000.0,test,1091833
261,regions,target_direct,False,,control,1036810
262,regions,target_direct,False,,test,1095394
263,regions,organic,False,,test,1085485
264,spb,target_direct,False,,control,1019227
265,regions,target_direct,True,4329.0,control,1045591
266,regions,context_brand,True,5786.0,test,1114102
267,regions,organic,False,,control,1030219
268,msk,context_brand,False,,test,1071472
269,msk,organic,False,,test,1061704
270,regions,organic,True,6341.0,control,1030675
271,spb,organic,False,,control,1016458
272,msk,target_direct,True,50.0,test,1069828
273,spb,target_direct,False,,test,1078975
274,spb,target_direct,True,50.0,control,1019440
275,msk,target_direct,False,,control,1006684
276,msk,target_direct,False,,control,1007944
277,msk,context_brand,True,19837.0,control,1011226
278,regions,social_media,False,,test,1118638
279,msk,context_brand,True,13866.0,control,1010434
280,regions,target_direct,False,,test,1110649
281,spb,target_direct,False,,test,1078351
282,spb,target_direct,True,50.0,test,1078717
283,spb,target_direct,False,,test,1080364
284,regions,target_direct,False,,control,1047649
285,regions,organic,False,,test,1091518
286,spb,target_direct,False,,control,1018213
287,regions,organic,False,,control,1032076
288,msk,social_media,True,200.0,test,1074088
289,msk,organic,True,2000.0,control,1002865
290,spb,target_direct,True,50.0,control,1021507
291,spb,context_brand,True,6160.0,test,1082350
292,spb,target_direct,True,50.0,control,1018375
293,regions,organic,False,,control,1030825
294,regions,organic,False,,control,1035397
295,regions,target_direct,False,,test,1102846
296,regions,social_media,True,200.0,test,1118755
297,regions,target_direct,False,,test,1111642
298,regions,organic,False,,test,1089613
299,regions,target_direct,False,,test,1095577
300,regions,target_direct,False,,test,1097239
301,regions,target_direct,False,,test,1108987
302,msk,social_media,True,5676.0,control,1011961
303,regions,target_direct,False,,control,1042693
304,msk,context_brand,True,1600.0,control,1011493
305,regions,target_direct,True,50.0,control,1045423
306,regions,social_media,False,,test,1116376
307,regions,target_direct,True,50.0,control,1047466
308,regions,context_brand,True,1600.0,test,1112368
309,regions,organic,True,10590.0,test,1093987
310,msk,organic,False,,control,1001509
311,regions,social_media,False,,test,1118623
312,msk,organic,True,7461.0,test,1061842
313,regions,organic,False,,control,1032898
314,regions,target_direct,False,,control,1048723
315,regions,target_direct,False,,test,1111120
316,msk,organic,False,,control,1002886
317,msk,organic,False,,control,1000873
318,spb,social_media,True,200.0,control,1023589
319,regions,social_media,False,,control,1059943
320,regions,target_direct,False,,test,1102498
321,spb,target_direct,False,,control,1020841
322,regions,target_direct,True,2587.0,control,1039408
323,msk,social_media,True,6238.0,control,1013227
324,regions,organic,False,,test,1090501
325,msk,organic,False,,control,1002262
326,regions,social_media,False,,control,1058848
327,regions,target_direct,False,,test,1099273
328,spb,organic,True,7232.0,control,1016347
329,regions,context_brand,False,,test,1113040
330,regions,target_direct,True,50.0,test,1109986
331,regions,target_direct,True,4292.0,control,1043866
332,msk,target_direct,False,,test,1069360
333,spb,social_media,False,,control,1023922
334,spb,organic,True,2000.0,test,1077211
335,msk,target_direct,False,,control,1009693
336,msk,target_direct,False,,control,1005898
337,spb,organic,True,2000.0,control,1013854
338,regions,target_direct,True,2822.0,control,1044178
339,msk,organic,False,,control,1003153
340,regions,target_direct,False,,control,1044106
341,regions,organic,False,,control,1033045
342,regions,organic,False,,test,1095169
343,regions,target_direct,False,,control,1035868
344,msk,organic,True,8431.0,test,1061392
345,regions,organic,False,,control,1031800
346,msk,social_media,False,,control,1012981
347,regions,organic,True,4751.0,control,1031716
348,regions,organic,False,,control,1033318
349,msk,context_brand,True,7269.0,control,1010665
350,spb,organic,False,,control,1014865
351,msk,organic,False,,test,1064197
352,regions,social_media,True,7220.0,test,1117117
353,regions,target_direct,False,,control,1042912
354,msk,target_direct,False,,control,1004566
355,regions,social_media,False,,control,1060798
356,regions,social_media,False,,control,1060393
357,regions,social_media,False,,control,1061254
358,regions,target_direct,False,,control,1038349
359,spb,context_brand,True,6928.0,test,1082155
360,regions,target_direct,False,,control,1044922
361,regions,target_direct,True,5012.0,control,1045831
362,spb,target_direct,False,,control,1020541
363,spb,organic,False,,test,1077115
364,regions,target_direct,False,,test,1100533
365,regions,target_direct,False,,control,1045507
366,msk,organic,False,,test,1062004
367,regions,social_media,True,11216.0,control,1061086
368,regions,organic,False,,control,1029004
369,msk,organic,True,8140.0,control,1003042
370,regions,target_direct,False,,test,1108666
371,regions,target_direct,False,,test,1103032
372,spb,target_direct,False,,control,1020886
373,msk,context_brand,False,,test,1072489
374,regions,social_media,False,,test,1116658
375,regions,organic,False,,control,1029175
376,regions,organic,False,,control,1034329
377,regions,organic,False,,control,1032025
378,regions,context_brand,False,,test,1111867
379,regions,context_brand,False,,control,1056748
380,spb,target_direct,True,50.0,control,1021375
381,regions,social_media,False,,test,1117324
382,regions,target_direct,False,,test,1095373
383,spb,target_direct,True,9542.0,test,1081702
384,regions,target_direct,False,,control,1038586
385,regions,organic,False,,control,1028692
386,spb,organic,False,,control,1016218
387,regions,target_direct,True,50.0,control,1037269
388,spb,target_direct,False,,control,1017841
389,spb,target_direct,True,50.0,test,1080673
390,regions,organic,False,,control,1027213
391,regions,organic,False,,control,1024759
392,regions,target_direct,False,,test,1106515
393,regions,target_direct,False,,control,1037971
394,msk,organic,False,,control,1000285
395,regions,target_direct,True,2922.0,test,1111513
396,msk,context_brand,False,,control,1011220
397,regions,organic,True,2000.0,control,1033123
398,regions,context_brand,False,,control,1053496
399,msk,social_media,False,,test,1073599
400,regions,context_brand,False,,test,1112713
401,regions,target_direct,False,,test,1107409
402,regions,target_direct,True,2793.0,test,1103848
403,regions,target_direct,False,,test,1105351
404,regions,context_brand,True,1600.0,control,1056013
405,spb,organic,False,,control,1014103
406,regions,target_direct,False,,control,1049800
407,regions,target_direct,False,,test,1102942
408,regions,target_direct,False,,control,1050655
409,regions,social_media,False,,test,1117063
410,regions,context_brand,False,,test,1115047
411,msk,target_direct,True,10716.0,test,1067080
412,regions,target_direct,False,,test,1103722
413,msk,target_direct,False,,test,1065967
414,regions,social_media,False,,test,1117225
415,msk,target_direct,True,50.0,test,1067101
416,regions,context_brand,False,,test,1113559
417,msk,target_direct,False,,control,1006402
418,regions,target_direct,False,,test,1110502
419,regions,organic,True,2000.0,control,1029331
420,regions,organic,False,,test,1090450
421,spb,context_brand,False,,control,1021540
422,regions,context_brand,False,,test,1114324
423,regions,target_direct,False,,test,1097359
424,regions,organic,False,,control,1034002
425,regions,target_direct,False,,test,1108756
426,regions,target_direct,False,,test,1095673
427,msk,target_direct,False,,test,1066774
428,regions,organic,True,2000.0,control,1034245
429,regions,target_direct,False,,control,1051993
430,regions,organic,False,,test,1084702
431,msk,organic,True,8394.0,control,1003981
432,regions,target_direct,False,,control,1047691
433,regions,organic,True,14705.0,test,1093009
434,msk,target_direct,True,6085.0,test,1069873
435,regions,target_direct,False,,test,1110289
436,regions,social_media,False,,test,1117423
437,spb,social_media,False,,control,1023766
438,regions,context_brand,False,,test,1112011
439,regions,target_direct,False,,control,1048891
440,msk,context_brand,False,,test,1072609
441,regions,target_direct,False,,control,1048843
442,regions,organic,True,2000.0,control,1027846
443,regions,target_direct,True,5758.0,test,1105027
444,regions,organic,True,2000.0,control,1025506
445,regions,organic,False,,control,1027183
446,msk,target_direct,False,,control,1004875
447,msk,target_direct,True,6181.0,test,1070908
448,regions,target_direct,True,3802.0,control,1041310
449,regions,target_direct,False,,test,1096846
450,msk,organic,True,21191.0,test,1061503
451,msk,context_brand,False,,control,1011169
452,regions,target_direct,False,,control,1040557
453,msk,social_media,False,,control,1012546
454,msk,target_direct,True,5996.0,test,1068076
455,regions,organic,False,,control,1030069
456,msk,target_direct,False,,control,1009240
457,spb,target_direct,False,,control,1019338
458,regions,target_direct,False,,control,1043878
459,msk,organic,True,2000.0,control,1003915
460,regions,organic,False,,control,1030648
461,spb,organic,False,,test,1074694
462,regions,target_direct,False,,control,1044424
463,spb,target_direct,True,50.0,control,1019497
464,regions,target_direct,False,,control,1047277
465,msk,target_direct,True,7041.0,control,1010215
466,spb,context_brand,False,,control,1022593
467,regions,organic,False,,control,1025056
468,msk,organic,False,,test,1062688
469,regions,target_direct,False,,control,1042126
470,spb,target_direct,True,50.0,test,1080523
471,regions,target_direct,True,50.0,test,1103017
472,regions,target_direct,False,,test,1111585
473,regions,target_direct,False,,control,1047421
474,regions,organic,True,5611.0,control,1035367
475,spb,target_direct,False,,test,1079038
476,spb,target_direct,True,4586.0,test,1078969
477,regions,target_direct,False,,control,1046788
478,msk,target_direct,False,,test,1065961
479,regions,organic,False,,control,1025311
480,regions,organic,False,,test,1085314
481,msk,target_direct,False,,test,1070782
482,msk,target_direct,False,,test,1066768
483,spb,organic,True,11052.0,control,1014283
484,regions,context_brand,False,,test,1113979
485,regions,target_direct,False,,test,1096318
486,msk,target_direct,False,,control,1006315
487,regions,target_direct,False,,test,1103266
488,regions,social_media,False,,test,1118878
489,regions,target_direct,True,50.0,test,1099732
490,regions,organic,True,2000.0,control,1035517
491,spb,target_direct,False,,test,1078639
492,regions,target_direct,True,50.0,test,1102783
493,regions,target_direct,False,,test,1100659
494,regions,target_direct,True,4415.0,test,1105960
495,spb,target_direct,True,4623.0,control,1018537
496,regions,organic,False,,control,1027771
497,regions,organic,False,,control,1029532
498,regions,organic,False,,control,1029166
499,regions,organic,False,,test,1087600
500,regions,target_direct,True,13198.0,control,1047883
501,regions,organic,True,8434.0,test,1094416
502,regions,organic,False,,control,1030591
503,regions,target_direct,False,,control,1045108
504,spb,organic,True,6626.0,control,1016653
505,regions,organic,False,,control,1031002
506,regions,target_direct,False,,test,1097326
507,spb,target_direct,True,50.0,control,1020667
508,msk,context_brand,True,11858.0,test,1072687
509,regions,target_direct,False,,control,1050706
510,regions,organic,False,,control,1030966
511,regions,target_direct,False,,test,1108516
512,msk,target_direct,False,,control,1006960
513,regions,organic,False,,test,1090408
514,regions,social_media,True,200.0,test,1118146
515,regions,organic,False,,control,1032079
516,regions,target_direct,False,,control,1045594
517,regions,organic,False,,control,1030465
518,msk,target_direct,True,6908.0,test,1071115
519,regions,organic,False,,test,1093645
520,spb,target_direct,False,,control,1021081
521,spb,organic,True,2000.0,test,1074985
522,regions,social_media,True,200.0,control,1057927
523,regions,target_direct,False,,test,1099708
524,regions,target_direct,False,,test,1100737
525,msk,context_brand,True,6762.0,control,1011451
526,regions,social_media,False,,test,1116769
527,regions,target_direct,False,,control,1052350
528,regions,target_direct,False,,test,1104313
529,regions,target_direct,True,11681.0,test,1095589
530,regions,social_media,False,,test,1117606
531,spb,target_direct,False,,test,1081738
532,regions,social_media,False,,test,1118575
533,spb,target_direct,False,,control,1018177
534,msk,target_direct,True,50.0,control,1006810
535,msk,context_brand,True,7000.0,test,1071910
536,spb,target_direct,True,9078.0,control,1020664
537,regions,target_direct,False,,control,1047919
538,spb,target_direct,True,5075.0,control,1021198
539,msk,target_direct,True,6010.0,control,1008541
540,spb,target_direct,True,9596.0,control,1021417
541,regions,organic,False,,test,1088404
542,regions,target_direct,False,,control,1037320
543,msk,organic,False,,test,1061653
544,spb,context_brand,False,,test,1082530
545,regions,target_direct,False,,control,1043323
546,regions,context_brand,True,5694.0,control,1055557
547,regions,organic,False,,test,1087069
548,regions,target_direct,False,,test,1110460
549,msk,social_media,False,,test,1073026
550,regions,target_direct,False,,test,1100116
551,regions,target_direct,False,,control,1050328
552,regions,organic,False,,test,1090771
553,regions,target_direct,False,,control,1049722
554,msk,target_direct,True,50.0,control,1006111
555,regions,target_direct,False,,control,1052422
556,regions,target_direct,False,,test,1101220
557,regions,organic,True,6266.0,test,1091434
558,regions,social_media,True,4634.0,test,1117798
559,regions,context_brand,False,,control,1056124
560,regions,organic,False,,control,1031962
561,regions,context_brand,True,3834.0,control,1053589
562,regions,organic,False,,test,1088188
563,regions,target_direct,False,,test,1104094
564,regions,target_direct,False,,test,1111729
565,regions,context_brand,False,,control,1053655
566,msk,organic,True,13158.0,control,1000015
567,regions,organic,False,,control,1024573
568,spb,organic,False,,control,1015588
569,regions,organic,True,9101.0,control,1025008
570,regions,target_direct,False,,control,1048786
571,regions,target_direct,False,,test,1107682
572,regions,target_direct,False,,control,1041052
573,msk,organic,True,7718.0,control,1003573
574,regions,target_direct,False,,control,1042186
575,regions,context_brand,False,,test,1112140
576,regions,target_direct,False,,test,1107343
577,msk,target_direct,False,,control,1008871
578,regions,context_brand,False,,control,1053277
579,spb,organic,True,2000.0,control,1014091
580,regions,target_direct,False,,control,1038364
581,spb,organic,True,6798.0,test,1076434
582,spb,social_media,False,,control,1023649
583,regions,organic,True,8992.0,test,1089163
584,regions,organic,False,,control,1029016
585,regions,target_direct,False,,test,1101406
586,regions,social_media,False,,control,1059838
587,msk,target_direct,False,,test,1070512
588,regions,target_direct,False,,control,1035820
589,msk,target_direct,False,,control,1008289
590,regions,organic,True,19004.0,control,1026043
591,msk,target_direct,False,,control,1008682
592,spb,organic,True,2000.0,control,1016245
593,regions,target_direct,False,,control,1042948
594,regions,organic,False,,test,1087291
595,regions,organic,False,,control,1026379
596,regions,organic,True,6594.0,control,1026058
597,spb,organic,False,,test,1076272
598,regions,social_media,False,,test,1119406
599,regions,organic,False,,control,1029976
600,regions,social_media,True,9452.0,control,1060534
601,regions,social_media,False,,control,1060369
602,spb,target_direct,False,,control,1018090
603,regions,context_brand,False,,test,1113493
604,spb,target_direct,True,5509.0,control,1020514
605,regions,target_direct,True,3036.0,control,1047175
606,regions,organic,True,6329.0,test,1084501
607,regions,target_direct,False,,control,1051237
608,regions,organic,True,2000.0,control,1032544
609,spb,organic,True,2000.0,test,1074430
610,regions,target_direct,False,,control,1051288
611,regions,target_direct,True,4736.0,control,1043632
612,regions,organic,False,,test,1089196
613,regions,organic,True,4013.0,control,1027462
614,spb,target_direct,False,,test,1077514
615,regions,target_direct,False,,control,1047208
616,regions,organic,False,,control,1025806
617,msk,organic,True,8687.0,test,1062142
618,regions,context_brand,False,,control,1054474
619,regions,organic,True,2000.0,test,1087114
620,spb,target_direct,True,9164.0,test,1081594
621,msk,organic,False,,control,1002352
622,spb,context_brand,True,11154.0,control,1022245
623,spb,target_direct,True,5218.0,test,1078612
624,regions,organic,True,8195.0,test,1090294
625,regions,target_direct,False,,control,1042996
626,regions,target_direct,False,,test,1103434
627,msk,target_direct,False,,control,1006825
628,regions,target_direct,False,,control,1040674
629,regions,target_direct,False,,test,1102282
630,msk,target_direct,False,,control,1009864
631,regions,organic,True,6207.0,control,1033066
632,msk,target_direct,False,,control,1007488
633,spb,organic,False,,control,1014346
634,spb,target_direct,True,5300.0,control,1016737
635,msk,context_brand,True,1600.0,test,1072132
636,regions,target_direct,False,,test,1106626
637,spb,target_direct,False,,test,1077967
638,regions,social_media,False,,control,1059730
639,regions,organic,True,5161.0,test,1092412
640,spb,target_direct,False,,control,1017100
641,regions,target_direct,False,,control,1042183
642,regions,social_media,False,,control,1057225
643,spb,social_media,True,11160.0,control,1023610
644,regions,organic,True,5417.0,test,1086904
645,spb,organic,True,7166.0,control,1014880
646,spb,target_direct,True,4764.0,control,1021321
647,spb,organic,False,,control,1015345
648,msk,context_brand,False,,test,1072024
649,msk,social_media,True,17156.0,control,1012711
650,regions,organic,False,,control,1035286
651,regions,target_direct,False,,control,1044697
652,regions,target_direct,False,,control,1045561
653,regions,social_media,False,,control,1057345
654,regions,organic,False,,control,1031956
655,regions,target_direct,False,,control,1040602
656,regions,organic,False,,control,1025455
657,msk,target_direct,False,,control,1004944
658,spb,target_direct,False,,control,1020565
659,msk,organic,False,,test,1061494
660,regions,target_direct,False,,test,1102888
661,regions,target_direct,False,,test,1107736
662,regions,target_direct,False,,control,1041013
663,msk,target_direct,True,50.0,test,1069747
664,regions,context_brand,False,,control,1055569
665,regions,organic,True,2000.0,test,1087189
666,regions,target_direct,False,,test,1106770
667,regions,organic,True,8470.0,test,1085683
668,regions,social_media,False,,test,1118644
669,regions,organic,False,,control,1026232
670,msk,context_brand,True,1600.0,control,1010746
671,regions,context_brand,True,1600.0,control,1056709
672,spb,target_direct,False,,test,1078642
673,regions,context_brand,True,6234.0,test,1113187
674,spb,social_media,False,,test,1083145
675,spb,organic,False,,control,1014142
676,regions,organic,True,6374.0,control,1032961
677,regions,organic,True,4063.0,test,1086754
678,regions,target_direct,False,,test,1110889
679,spb,target_direct,False,,test,1080376
680,regions,organic,True,8316.0,test,1088005
681,regions,target_direct,True,4337.0,control,1044673
682,spb,context_brand,False,,test,1082893
683,regions,organic,True,6182.0,test,1093036
684,regions,target_direct,True,4272.0,test,1103716
685,regions,context_brand,False,,test,1112620
686,msk,organic,True,28604.0,control,1000312
687,spb,target_direct,False,,control,1017967
688,regions,target_direct,False,,test,1105588
689,regions,organic,False,,test,1084756
690,regions,context_brand,False,,control,1053622
691,regions,organic,False,,test,1092361
692,regions,target_direct,False,,test,1099660
693,spb,context_brand,True,7053.0,control,1022584
694,regions,target_direct,False,,control,1045132
695,regions,target_direct,False,,control,1050130
696,regions,organic,False,,test,1085311
697,regions,target_direct,False,,test,1105060
698,msk,target_direct,False,,control,1004185
699,regions,organic,True,4470.0,control,1030354
700,msk,organic,False,,control,1004122
701,regions,target_direct,False,,control,1045645
702,regions,target_direct,False,,test,1097071
703,msk,target_direct,True,13914.0,control,1007335
704,regions,context_brand,False,,control,1055092
705,regions,target_direct,False,,control,1049299
706,regions,target_direct,True,50.0,test,1107850
707,regions,target_direct,False,,test,1105735
708,spb,target_direct,False,,control,1016836
709,spb,organic,False,,control,1014094
710,regions,organic,False,,test,1088815
711,msk,target_direct,False,,test,1068430
712,regions,target_direct,False,,control,1050745
713,spb,target_direct,False,,control,1018159
714,regions,organic,True,2000.0,test,1089403
715,regions,target_direct,False,,control,1044607
